timestamp,close,high,low,trade_count,open,volume,vwap
2023-08-16 15:18:00+00:00,489.915,490.1085,489.73,39,490.1085,1016,489.901127
2023-08-16 15:19:00+00:00,489.95,489.95,489.88,22,489.88,514,489.944272
2023-08-16 15:20:00+00:00,490.12,490.23,489.92,50,489.92,2194,490.112204
2023-08-16 15:21:00+00:00,489.92,490.08,489.92,39,490.04,1434,490.029085
2023-08-16 15:22:00+00:00,490.14,490.14,489.89,32,489.95,647,489.972579
2023-08-16 15:23:00+00:00,490.27,490.46,490.27,30,490.42,507,490.373014
2023-08-16 15:24:00+00:00,490.23,490.36,490.23,28,490.36,532,490.307434
2023-08-16 15:25:00+00:00,490.01,490.01,490.0,39,490.01,548,490.044538
2023-08-16 15:26:00+00:00,489.62,489.78,489.61,58,489.78,2397,489.692972
2023-08-16 15:27:00+00:00,489.5,489.66,489.24,66,489.62,1955,489.418391
2023-08-16 15:28:00+00:00,489.365,489.46,489.3,28,489.46,614,489.37347
2023-08-16 15:29:00+00:00,489.64,489.64,489.245,38,489.245,2259,489.318074
2023-08-16 15:30:00+00:00,489.48,489.53,489.48,47,489.53,1069,489.49968
2023-08-16 15:31:00+00:00,489.2,489.39,489.08,61,489.34,1269,489.256524
2023-08-16 15:32:00+00:00,489.29,489.36,489.19,40,489.31,1312,489.290417
2023-08-16 15:33:00+00:00,489.3,489.3,489.09,56,489.09,1153,489.238699
2023-08-16 15:34:00+00:00,489.39,489.39,489.3,39,489.3,661,489.310897
2023-08-16 15:35:00+00:00,489.19,489.19,489.06,42,489.15,770,489.149226
2023-08-16 15:36:00+00:00,489.0,489.19,489.0,45,489.19,759,489.093077
2023-08-16 15:37:00+00:00,488.95,489.18,488.95,38,489.05,960,489.037225
2023-08-16 15:38:00+00:00,488.81,488.94,488.81,36,488.94,651,488.888655
2023-08-16 15:40:00+00:00,488.77,489.0,488.42,51,488.42,1976,488.700115
2023-08-16 15:41:00+00:00,488.87,489.03,488.87,21,489.03,272,488.945507
2023-08-16 15:42:00+00:00,488.765,488.98,488.765,38,488.78,852,488.82677
2023-08-16 15:43:00+00:00,488.65,488.723,488.635,33,488.723,1104,488.688018
2023-08-16 15:44:00+00:00,488.37,488.58,488.37,24,488.58,370,488.48743
2023-08-16 15:45:00+00:00,488.48,488.57,488.33,39,488.33,975,488.415903
2023-08-16 15:46:00+00:00,488.35,488.35,488.2,49,488.35,1386,488.318809
2023-08-16 15:47:00+00:00,487.74,488.24,487.69,80,488.24,2721,487.869335
2023-08-16 15:48:00+00:00,487.39,487.81,487.39,62,487.6,2842,487.608444
2023-08-16 15:49:00+00:00,487.31,487.57,487.3,69,487.37,2808,487.399
2023-08-16 15:50:00+00:00,487.425,487.425,486.831,84,487.19,4928,487.050893
2023-08-16 15:51:00+00:00,487.21,487.38,487.21,50,487.3,1550,487.271927
2023-08-16 15:52:00+00:00,486.93,487.37,486.92,141,487.33,7967,487.162641
2023-08-16 15:53:00+00:00,486.85,486.95,486.78,126,486.85,6333,486.840095
2023-08-16 15:54:00+00:00,486.83,486.91,486.72,66,486.78,2660,486.784855
2023-08-16 15:55:00+00:00,486.57,486.85,486.41,120,486.74,7934,486.587365
2023-08-16 15:56:00+00:00,486.4,486.83,486.4,52,486.585,2031,486.5524
2023-08-16 15:57:00+00:00,486.36,486.44,486.01,56,486.25,4007,486.219956
2023-08-16 15:58:00+00:00,486.07,486.45,485.88,81,486.34,3470,486.191177
2023-08-16 15:59:00+00:00,485.82,485.915,485.47,114,485.88,7006,485.735347
2023-08-16 16:00:00+00:00,485.96,486.08,485.61,101,485.77,3766,485.791355
2023-08-16 16:01:00+00:00,486.56,486.68,486.0,50,486.0,2227,486.42135
2023-08-16 16:02:00+00:00,486.62,486.62,486.41,32,486.41,947,486.52782
2023-08-16 16:03:00+00:00,486.55,486.8,486.55,58,486.56,4217,486.642288
2023-08-16 16:04:00+00:00,486.14,486.61,486.14,71,486.55,4240,486.366769
2023-08-16 16:05:00+00:00,486.26,486.2967,486.07,49,486.24,1796,486.195359
2023-08-16 16:06:00+00:00,486.01,486.21,486.01,39,486.16,963,486.123753
2023-08-16 16:07:00+00:00,485.78,485.97,485.69,70,485.97,3748,485.781127
2023-08-16 16:08:00+00:00,485.7,485.77,485.58,41,485.67,1158,485.694301
2023-08-16 16:09:00+00:00,485.72,485.72,485.6,23,485.6,545,485.631743
2023-08-16 16:10:00+00:00,485.271,485.78,485.15,56,485.78,2012,485.430091
2023-08-16 16:11:00+00:00,485.25,485.41,485.1,51,485.1,1884,485.204133
2023-08-16 16:12:00+00:00,484.81,485.04,484.78,117,485.04,3838,484.929828
2023-08-16 16:13:00+00:00,485.02,485.02,484.75,54,484.82,2790,484.890076
2023-08-16 16:14:00+00:00,484.72,485.0,484.72,40,485.0,1239,484.848016
2023-08-16 16:15:00+00:00,484.86,484.98,484.75,42,484.82,1486,484.86548
2023-08-16 16:16:00+00:00,484.935,484.98,484.65,81,484.72,2703,484.827587
2023-08-16 16:17:00+00:00,484.39,484.79,484.39,53,484.79,1574,484.515597
2023-08-16 16:18:00+00:00,484.22,484.51,484.1,83,484.35,3914,484.272785
2023-08-16 16:19:00+00:00,484.28,484.28,483.94,67,484.14,1923,484.112568
2023-08-16 16:20:00+00:00,484.09,484.48,484.09,28,484.38,735,484.319613
2023-08-16 16:21:00+00:00,484.26,484.26,484.03,44,484.03,2117,484.203385
2023-08-16 16:22:00+00:00,484.29,484.34,484.18,36,484.18,949,484.276242
2023-08-16 16:23:00+00:00,484.35,484.35,484.21,39,484.27,844,484.300287
2023-08-16 16:24:00+00:00,484.24,484.45,484.24,32,484.38,981,484.345619
2023-08-16 16:25:00+00:00,483.97,484.31,483.93,66,484.31,2732,484.076853
2023-08-16 16:26:00+00:00,484.07,484.07,483.9,40,483.92,838,483.956447
2023-08-16 16:27:00+00:00,484.0275,484.12,483.76,45,484.12,2745,483.922204
2023-08-16 16:28:00+00:00,484.13,484.27,484.13,21,484.27,376,484.205522
2023-08-16 16:29:00+00:00,484.36,484.42,484.23,56,484.23,2039,484.320533
2023-08-16 16:30:00+00:00,484.34,484.5,484.19,55,484.31,2997,484.291261
2023-08-16 16:31:00+00:00,484.53,484.53,484.32,27,484.32,1124,484.460583
2023-08-16 16:32:00+00:00,484.78,484.83,484.68,56,484.685,1815,484.772947
2023-08-16 16:33:00+00:00,484.86,484.86,484.65,48,484.7595,1876,484.75049
2023-08-16 16:34:00+00:00,484.82,484.9,484.71,61,484.88,1779,484.803812
2023-08-16 16:35:00+00:00,485.13,485.13,484.85,22,484.88,370,484.973672
2023-08-16 16:36:00+00:00,485.2,485.2,484.89,47,485.115,1509,485.048536
2023-08-16 16:37:00+00:00,485.51,485.51,485.2,40,485.2,1802,485.409506
2023-08-16 16:38:00+00:00,485.185,485.54,485.185,45,485.54,1059,485.291655
2023-08-16 16:39:00+00:00,485.17,485.3,485.15,29,485.23,476,485.21398
2023-08-16 16:40:00+00:00,485.14,485.19,485.14,26,485.19,584,485.169665
2023-08-16 16:41:00+00:00,485.31,485.31,485.31,25,485.31,459,485.218191
2023-08-16 16:42:00+00:00,485.46,485.465,485.295,31,485.295,856,485.400265
2023-08-16 16:43:00+00:00,485.61,485.61,485.36,71,485.53,3484,485.525514
2023-08-16 16:44:00+00:00,485.5,485.5,485.39,39,485.49,970,485.428868
2023-08-16 16:45:00+00:00,485.33,485.42,485.27,40,485.42,813,485.30255
2023-08-16 16:46:00+00:00,485.12,485.25,485.12,37,485.21,913,485.17253
2023-08-16 16:47:00+00:00,484.92,485.16,484.92,57,485.07,2218,485.018868
2023-08-16 16:48:00+00:00,485.01,485.11,484.95,33,484.95,702,485.016748
2023-08-16 16:49:00+00:00,485.1,485.18,484.97,34,485.1,1690,485.096793
2023-08-16 16:50:00+00:00,485.0945,485.18,485.06,23,485.18,867,485.106646
2023-08-16 16:51:00+00:00,484.91,485.11,484.91,71,485.0,3266,485.006365
2023-08-16 16:52:00+00:00,484.98,485.11,484.88,41,484.95,1510,485.013288
2023-08-16 16:53:00+00:00,485.0,485.12,484.96,49,485.12,1761,485.034399
2023-08-16 16:54:00+00:00,484.93,485.03,484.93,46,485.03,1336,485.023997
2023-08-16 16:55:00+00:00,484.91,485.14,484.85,82,484.85,3654,485.001535
2023-08-16 16:56:00+00:00,484.93,484.95,484.86,28,484.9,1030,484.905755
2023-08-16 16:57:00+00:00,484.7,484.78,484.41,64,484.78,1787,484.638376
2023-08-16 16:58:00+00:00,484.9,484.91,484.74,32,484.74,1323,484.866844
2023-08-16 16:59:00+00:00,484.77,484.85,484.77,33,484.85,730,484.846368
2023-08-16 17:00:00+00:00,485.22,485.22,484.925,28,484.98,775,485.05309
